Quarter,Barangay,Mayor_Total_Given_PHP,Share_of_LGU_Budget_%,Mayor_IEC_PHP,Mayor_IEC_%,Mayor_Enf_PHP,Mayor_Enf_%,Mayor_Inc_PHP,Mayor_Inc_%,Municipal_Inspectors_Deployed
8,Brgy Ezperanza,18898.78,5.0%,2487.56,13.2%,1193.55,6.3%,15217.67,80.5%,0
8,Brgy Poblacion,24110.73,6.4%,11578.68,48.0%,1648.57,6.8%,10883.49,45.1%,0
8,Brgy Binuni,38636.05,10.3%,8469.04,21.9%,18814.45,48.7%,11352.56,29.4%,1
8,Brgy Demologan,75085.26,20.0%,3503.59,4.7%,67236.77,89.5%,4344.89,5.8%,5
8,Brgy Mati,91377.36,24.4%,28100.36,30.8%,42516.77,46.5%,20760.23,22.7%,3
8,Brgy Babalaya,93714.73,25.0%,1941.46,2.1%,35559.44,37.9%,56213.84,60.0%,2
9,Brgy Liangan East,32637.31,8.7%,2435.81,7.5%,2926.95,9.0%,27274.55,83.6%,0
9,Brgy Ezperanza,18562.45,4.9%,2486.24,13.4%,1170.20,6.3%,14906.01,80.3%,0
9,Brgy Poblacion,23481.08,6.3%,11225.20,47.8%,1668.64,7.1%,10587.23,45.1%,0
9,Brgy Binuni,38558.95,10.3%,8819.16,22.9%,18781.68,48.7%,10958.11,28.4%,1
9,Brgy Demologan,76428.18,20.4%,3406.47,4.5%,68760.14,90.0%,4261.56,5.6%,5
9,Brgy Mati,89025.95,23.7%,28174.24,31.6%,40842.23,45.9%,20009.49,22.5%,3
9,Brgy Babalaya,96306.12,25.7%,1758.13,1.8%,36281.12,37.7%,58266.87,60.5%,3
10,Brgy Liangan East,32821.08,8.8%,2187.06,6.7%,2733.00,8.3%,27901.02,85.0%,0
10,Brgy Ezperanza,18098.50,4.8%,2385.99,13.2%,1059.83,5.9%,14652.68,81.0%,0
10,Brgy Poblacion,22612.13,6.0%,10502.09,46.4%,1549.15,6.9%,10560.89,46.7%,0
10,Brgy Binuni,37975.88,10.1%,9149.16,24.1%,18497.53,48.7%,10329.19,27.2%,1
