Random,Dirichlet,Greedy,Vanilla_DRL,HuDRL
8414.70973777771,10566.757793426514,10094.707523345947,1729.9437980651855,10548.21492767334
9815.460186004639,10560.801139831543,10096.239059448242,1732.7567672729492,10555.333572387695
8581.93851852417,10286.636680603027,10092.603603363037,1731.602855682373,10556.430896759033
10355.278915405273,9874.226093292236,10094.272480010986,2050.8223991394043,10560.678451538086
9771.437309265137,9699.669200897217,10094.525047302246,2052.0135650634766,10554.281101226807
